available datasets,abbreviated name
oxide - element conversion factors,oxelconv
chemical element properties,chemelprop
chondrite properties,chondprop
chondrite element abundances,chondelab
element electron binding energies,ebindenergies
element electron transition energies,etransenergies
West African Craton,westafcrat
Tanzania Craton Archean,tanzcratarch
Bastar Craton,bastcrat
Easter Seamount Chain Salas Y Gomez Ridge,eastsearid
Ninetyeast Ridge,ninetyrid
Baical Rift Zone,baizone
Emeishan,emei
Galapagos Islands,galis
Banda Arc,bandarc
Karoo Province - Africa,karaf
North American Cordillera - Paleozoic,namcord
"Hyblean or Iblean Plateau, Sicily",hybibplat
McDonald Islands,mcdis
