z,symbol,element,mass (u),valence,melting point,T50@10 Pa,T50@0.1 Pa,lithophile,siderophile,refractory,main component,moderately volatile,volatile,HSE,PGE,REE,most,condensing phase
1,H,Hydrogen,1.00797,1,-259,,,,,,,,,,,,,ice
2,He,Helium,4.0026,0,,,,,,,,,,,,,,ice
3,Li,Lithium,6.941,1,180,1225,1091,1,,,1,,,,,,1,fo/en
4,Be,Beryllium,9.01218,2,1287,,,,,,,,,,,,,mel
5,B,Boron,10.81,3,2075,,,,,,,,,,,,,fsp
6,C,Carbon,12.011,4,3550,,,,,,,,,,,,,CHO
7,N,Nitrogen,14.0067,3,-210,,,,,,,,,,,,,NH3
8,O,Oxygen,15.9994,2,-218,,,,,,,,,,,,,ice
9,F,Fluorine,18.998403,1,-219,736,721,1,,,,1,,,,,1,ap
10,Ne,Neon,20.179,0,-248,,,,,,,,,,,,,ice
11,Na,Sodium,22.98977,1,97,970,861,1,,,,1,,,,,1,fsp
12,Mg,Magnesium,24.305,2,650,1340,1203,1,,,1,,,,,,1,fo
13,Al,Aluminum,26.98154,3,660,1650,1577,,,,,,,,,,1,hib
14,Si,Silicon,28.0855,4,1414,1311,1193,1,,,1,,,,,,1,fo/en
15,P,Phosphorus,30.97376,5,44,1151,1070,1,,,,1,,,,,1,schr
16,S,Sulfur,32.06,6,115,648,648,,1,,,1,,,,,1,tro
17,Cl,Chlorine,35.453,5,-101,863,775,,,,,,,,,,1,sod
18,Ar,Argon,39.948,0,-189,,,,,,,,,,,,,ice
19,K,Potassium,39.0983,1,63,1000,890,1,,,,1,,,,,1,fsp
20,Ca,Calcium,40.08,2,842,1518,1382,,,,,,,,,,1,hib/geh
21,Sc,Scandium,44.9559,3,1541,1652,1524,,,,,,,,,,1,hib
22,Ti,Titanium,47.9,4,1668,1598,1463,,,,,,,,,,1,tit
23,V,Vanadium,50.9415,5,1910,1455,1308,,,,,,,,,,1,tit
24,Cr,Chromium,51.996,6,1907,1301,1154,1,,,1,,,,,,1,FeNi
25,Mn,Manganese,54.938,4,1246,1190,1078,1,,,,1,,,,,1,fo/en
26,Fe,Iron,55.847,3,1538,1337,1185,,1,,1,,,,,,1,FeNi
27,Co,Cobalt,58.9332,4,1495,1356,1202,,1,,1,,,,,,1,FeNi
28,Ni,Nickel,58.7,2,1455,1354,1201,,1,,1,,,,,,1,FeNi
29,Cu,Copper,63.546,2,1084,1037,910,,1,,,1,,,,,1,FeNi
30,Zn,Zinc,65.38,2,419,660,605,1,,,,1,,,,,1,fo/en
31,Ga,Gallium,69.72,3,29,918,738,,1,,,1,,,,,1,FeNi
32,Ge,Germanium,72.59,4,938,825,702,,1,,,1,,,,,1,FeNi
33,As,Arsenic,74.9216,5,817,1135,1000,,,,,,,,,,1,FeNi
34,Se,Selenium,78.96,6,221,684,684,,1,,,1,,,,,1,tro
35,Br,Bromine,79.904,5,-7,350,350,,,,,,,,,,1,ap
36,Kr,Krypton,83.8,2,-157,,,,,,,,,,,,,ice
37,Rb,Rubidium,85.4678,1,39,1000,890,1,,,,1,,,,,1,fsp
38,Sr,Strontium,87.62,2,777,1217,1116,,,,,,,,,,1,tit
39,Y,Yttrium,88.9059,3,1526,1622,1499,,,,,,,,,,1,hib
40,Zr,Zirconium,91.22,4,1855,1717,1594,,,,,,,,,,1,bad
41,Nb,Niobium,92.9064,5,2477,1517,1362,,,,,,,,,,1,tit
42,Mo,Molybdenum,95.94,6,2623,1595,1456,,,,,,,,,,1,alloy
43,Tc,Technetium,-98,6,2157,,,,,,,,,,,,,
44,Ru,Ruthenium,101.07,6,2334,1565,1432,,,,,,,1,1,,1,alloy
45,Rh,Rhodium,102.9055,6,1964,1392,1250,,,,,,,1,1,,1,alloy
46,Pd,Palladium,106.4,4,1554,1321,1165,,1,,1,,,1,1,,1,FeNi
47,Ag,Silver,107.868,1,961,952,843,,1,,,1,,,,,1,FeNi
48,Cd,Cadmium,112.41,2,321,429,392,,,,,,,,,,1,en/tro
49,In,Indium,114.82,3,156,470,437,,1,,,,1,,,,1,tro
50,Sn,Tin,118.69,4,231,720,625,,1,,,1,,,,,1,FeNi
51,Sb,Antimony,121.75,5,630,912,767,,1,,,1,,,,,1,FeNi
52,Te,Tellurium,127.6,6,449,680,600,,1,,,1,,,,,1,FeNi
53,I,Iodine,126.9045,7,113,,,,,,,,,,,,,ap
54,Xe,Xenon,131.3,6,-111,,,,,,,,,,,,,ice
55,Cs,Cesium,132.9054,1,28,,,,,,,,,,,,,fsp
56,Ba,Barium,137.33,2,727,1163,1052,,,,,,,,,,1,tit
57,La,Lanthanum,138.9055,3,919,1544,1410,,,,,,,,,1,1,hib/tit
58,Ce,Cerium,140.12,4,798,1440,1286,,,,,,,,,1,1,hib/tit
59,Pr,Praseodymium,140.9077,4,931,1557,1420,,,,,,,,,1,1,hib/tit
60,Nd,Neodymium,144.24,3,1021,1563,1430,,,,,,,,,1,1,hib
61,Pm,Promethium,-145,3,1100,,,,,,,,,,,,,
62,Sm,Samarium,150.4,3,1072,1560,1433,,,,,,,,,1,1,hib/tit
63,Eu,Europium,151.96,3,822,1338,1232,,,,,,,,,1,1,hib/fsp
64,Gd,Gadolinium,157.25,3,1313,1597,1462,,,,,,,,,1,1,hib
65,Tb,Terbium,158.9254,3,1356,1598,1463,,,,,,,,,1,1,hib
66,Dy,Dysprosium,162.5,3,1412,1598.1,1463,,,,,,,,,1,1,hib
67,Ho,Holmium,164.9304,3,1474,1598.2,1463,,,,,,,,,1,1,hib
68,Er,Erbium,167.26,3,1497,1598.3,1463,,,,,,,,,1,1,hib
69,Tm,Thulium,168.9342,3,1545,1598.4,1463,,,,,,,,,1,1,hib
70,Yb,Ytterbium,173.04,3,819,1493,1392,,,,,,,,,1,1,hib/tit
71,Lu,Lutetium,174.967,3,1663,1598.5,1463,,,,,,,,,1,1,hib
72,Hf,Hafnium,178.49,4,2233,1690,1577,,,,,,,,,,1,HfO2
73,Ta,Tantalum,180.9479,5,3017,1543,1418,,,,,,,,,,1,hib/tit
74,W,Tungsten,183.85,6,3422,1794,1625,,,,,,,,,,1,alloy
75,Re,Rhenium,186.207,7,3186,1818,1666,,,,,,,1,,,1,alloy
76,Os,Osmium,190.2,6,3033,1812,1663,,,,,,,1,1,,1,alloy
77,Ir,Iridium,192.22,6,2466,1603,1465,,,,,,,1,1,,1,alloy
78,Pt,Platinum,195.09,6,1768,1411,1275,,,,,,,1,1,,1,alloy
79,Au,Gold,196.9665,5,1064,1225,1074,,1,,,1,,1,,,1,FeNi
80,Hg,Mercury,200.59,2,-38,,,,1,,,,1,,,,,tro
81,Tl,Thallium,204.37,3,304,448,409,,,,,,,,,,1,tro
82,Pb,Lead,207.2,4,327,521,472,,1,,,,1,,,,1,FeNi
83,Bi,Bismuth,208.9804,5,271,472,432,,1,,,,1,,,,1,FeNi
84,Po,Polonium,-209,6,254,,,,,,,,,,,,,
85,At,Astatine,-210,7,302,,,,,,,,,,,,,
86,Rn,Radon,-222,6,-71,,,,,,,,,,,,,
87,Fr,Francium,-223,1,"IntegerPart[QuantityMagnitude[Missing[""NotAvailable""]]]",,,,,,,,,,,,,
88,Ra,Radium,226.0254,2,700,,,,,,,,,,,,,
89,Ac,Actinium,227.0278,3,1050,,,,,,,,,,,,,
90,Th,Thorium,232.0381,4,1750,1598,1463,,,,,,,,,,1,hib
91,Pa,Protactinium,231.0359,5,1572,,,,,,,,,,,,,
92,U,Uranium,238.029,6,1135,1580,1437,,,,,,,,,,1,hib
93,Np,Neptunium,237.0482,6,644,,,,,,,,,,,,,
94,Pu,Plutonium,-242,6,640,1578,1445,,,,,,,,,,,
,Am,Americium,-243,,,,,,,,,,,,,,,
,Cm,Curium,-247,,,,,,,,,,,,,,,
,Bk,Berkelium,-247,,,,,,,,,,,,,,,
,Cf,Californium,-251,,,,,,,,,,,,,,,
,Es,Einsteinium,-252,,,,,,,,,,,,,,,
