z,symbol,unit,CI,solar abundance,CM,CV,CO,CK,CR,CH,H,L,LL,EH,EL ,R,K
1,H,wt%,2.02,2.88E+10,1.40,0.28,0.07,,,,,,,,,,
2,He,,,2.29E+09,,,,,,,,,,,,,
3,Li,ppm,1.50,55.47,1.50,1.70,1.80,1.40,,,,,,,,,
4,Be,ppm,0.03,0.737,0.04,0.05,,,,,,,,,,,
5,B ,ppm,0.87,17.32,0.48,0.30,,,,,,,,,,,
6,C,wt%,3.45,7.07E+10,2.20,0.53,0.44,0.22,2.00,0.78,,,,,,,
7,N,ppm,3180.00,1.95E+06,1520.00,80.00,90.00,,620.00,190.00,,,,,,,
8,O,wt%,46.40,1.41E+07,43.20,37.00,37.00,,,,,,,,,,
9,F,ppm,60.00,8.41E+02,38.00,24.00,30.00,20.00,,,,,,,,,
10,Ne,,,2.82E+06,,,,,,,,,,,,,
11,Na,ppm,5000.00,5.75E+04,3900.00,3400.00,4200.00,3100.00,3300.00,1800.00,6110.00,6900.00,6840.00,6880.00,5770.00,6630.00,6800.00
12,Mg,wt%,9.70,1.02E+06,11.50,14.30,14.50,14.70,13.70,11.30,14.10,14.90,15.30,10.73,13.75,12.90,15.40
13,Al,wt%,0.87,8.41E+04,1.13,1.68,1.40,1.47,1.15,1.05,1.06,1.16,1.18,0.82,1.00,1.06,1.30
14,Si,wt%,10.64,1.00E+06,12.70,15.70,15.80,15.80,15.00,13.50,17.10,18.60,18.90,16.60,18.80,18.00,16.90
15,P,ppm,950.00,8.37E+03,1030.00,1120.00,1210.00,1100.00,1030.00,,,,,,,,
16,S ,wt%,5.41,4.45E+05,2.70,2.20,2.20,1.70,1.90,0.35,2.00,2.20,2.10,5.60,3.10,4.07,5.50
17,Cl,ppm,700.00,5.24E+03,430.00,250.00,280.00,260.00,,,,,,,,,
18,Ar,,,7.24E+04,,,,,,,,,,,,,
19,K,ppm,550.00,3692,370.00,360.00,360.00,290.00,315.00,200.00,,,,,,,
20,Ca,wt%,0.93,6.29E+04,1.29,1.84,1.58,1.70,1.29,1.30,1.22,1.33,1.32,0.85,1.02,0.91,1.22
21,Sc,ppm,5.90,34.2,8.20,10.20,9.50,11.00,7.80,7.50,7.80,,,,,,
22,Ti,ppm,440.00,2422,550.00,870.00,730.00,940.00,540.00,650.00,630.00,,,,,,
23,V,ppm,55.00,288.4,75.00,97.00,95.00,96.00,74.00,63.00,73.00,,,,,,
24,Cr,ppm,2650.00,1.29E+04,3050.00,3480.00,3520.00,3530.00,3415.00,3100.00,3500.00,3690.00,3680.00,3300.00,3030.00,3640.00,3600.00
25,Mn,ppm,1940.00,9168,1650.00,1520.00,1620.00,1440.00,1660.00,1020.00,2340.00,2590.00,2600.00,2120.00,1580.00,2960.00,2400.00
26,Fe,wt%,18.20,8.30E+05,21.30,23.50,25.00,23.00,23.80,38.00,27.20,21.75,19.80,30.50,24.80,24.40,24.70
27,Co,ppm,505.00,2323,560.00,640.00,680.00,620.00,640.00,1100.00,830.00,580.00,480.00,870.00,720.00,610.00,750.00
28,Ni,wt%,1.10,4.78E+04,1.23,1.32,1.42,1.31,1.31,2.57,1.71,1.24,1.06,1.84,1.47,1.44,1.46
29,Cu,ppm,125.00,527,130.00,104.00,130.00,90.00,100.00,120.00,94.00,90.00,85.00,215.00,120.00,,
30,Zn,ppm,315.00,1.23E+03,180.00,110.00,110.00,80.00,100.00,40.00,47.00,57.00,56.00,290.00,18.00,150.00,230.00
31,Ga,ppm,9.80,35.97,7.60,6.10,7.10,5.20,6.00,4.80,,,,,,,
32,Ge,ppm,33.00,1.21E+02,26.00,16.00,20.00,14.00,18.00,,,,,,,,
33,As,ppm,1.85,6.089,1.80,1.50,2.00,1.40,1.50,2.30,,,,,,,
34,Se,ppm,21.00,4.82E+00,12.00,8.70,8.00,8.00,8.20,3.90,,,,,,,
35,Br,ppm,3.50,11.32,3.00,1.60,1.40,0.60,1.00,1.40,,,,,,,
36,Kr,,,5.62E+01,,,,,,,,,,,,,
37,Rb,ppm,2.30,6.572,1.60,1.20,1.30,,1.10,,,,,,,,
38,Sr,ppm,7.30,2.36E+01,10.00,14.80,13.00,15.00,10.00,,,,,,,,
39,Y,ppm,1.56,4.623,2.00,2.60,2.40,2.70,,,,,,,,,
40,Zr,ppm,3.90,1.13E+01,7.00,8.90,9.00,8.00,5.40,,,,,,,,
41,Nb,ppm,0.25,0.7554,0.40,0.50,,0.40,0.50,,,,,,,,
42,Mo,ppm,0.92,2.601,1.40,1.80,1.70,0.38,1.40,2.00,1.40,1.20,1.10,,,0.90,
43,Tc,,,,,,,,,,,,,,,,
44,Ru,ppm,0.71,1.9,0.87,1.20,1.08,1.10,0.97,1.60,,,,,,,
45,Rh,ppm,0.14,0.3708,0.16,0.17,,0.18,,,,,,,,,
46,Pd,ppm,0.56,1.435,0.63,0.71,0.71,0.58,0.69,0.85,0.62,0.56,,,0.82,0.73,
47,Ag,ppb,200.00,0.4839,160.00,100.00,100.00,,95.00,,,,,,,,
48,Cd,ppb,690.00,1.584,420.00,350.00,8.00,,300.00,,,,,,,,
49,In,ppb,80.00,0.181,50.00,32.00,25.00,,30.00,,,,,,,,
50,Sn,ppm,1.70,3.733,0.79,0.68,0.89,0.49,0.73,,,,,,,,
51,Sb,ppb,135.00,0.3336,130.00,85.00,110.00,60.00,80.00,90.00,,,,,,,
52,Te,ppm,2.30,4.815,1.30,1.00,0.95,0.80,1.00,,,,,,,,
53,I ,ppm,0.43,0.9975,0.27,0.16,0.20,0.20,,,,,,,,,
54,Xe,,,4.074,,,,,,,,,,,,,
55,Cs,ppm,0.19,0.3671,0.11,0.09,0.08,,0.08,,,,,,,,
56,Ba,ppm,2.35,4.351,3.10,4.55,4.30,4.70,3.40,3.00,,,,,,,
57,La,ppm,0.235,0.442,0.320,0.469,0.380,0.460,0.310,0.290,0.301,0.318,0.330,0.240,0.196,0.310,0.320
58,Ce,ppm,0.620,1.191,0.940,1.190,1.140,1.270,0.750,0.870,0.763,0.970,0.880,0.650,0.580,0.830,
59,Pr,ppm,0.094,0.1731,0.137,0.174,0.140,,,,0.120,0.140,0.130,0.100,0.070,,
60,Nd,ppm,0.460,0.8355,0.626,0.919,0.850,0.990,0.790,,0.581,0.700,0.650,0.440,0.370,,
61,Pm,,,,,,,,,,,,,,,,
62,Sm,ppm,0.150,0.2542,0.204,0.294,0.250,0.290,0.230,0.185,0.194,0.203,0.205,0.140,0.149,0.180,0.200
63,Eu,ppm,0.057,0.09599,0.078,0.105,0.096,0.110,0.080,0.076,0.074,0.080,0.078,0.052,0.054,0.072,0.080
64,Gd,ppm,0.200,0.3388,0.290,0.405,0.390,0.440,0.320,0.290,0.275,0.317,0.290,0.210,0.196,,
65,Tb,ppm,0.037,0.05701,0.051,0.071,0.060,,0.050,0.050,0.049,0.059,0.054,0.034,0.032,,
66,Dy,ppm,0.250,0.3922,0.332,0.454,0.420,0.490,0.280,0.310,0.305,0.372,0.360,0.230,0.245,0.029,
67,Ho,ppm,0.056,0.08666,0.077,0.097,0.096,0.100,0.100,0.070,0.074,0.089,0.082,0.050,0.051,0.059,
68,Er,ppm,0.160,0.2504,0.221,0.277,0.305,0.350,,,0.213,0.252,0.240,0.160,0.160,,
69,Tm,ppm,0.025,0.037,0.035,0.048,0.040,,,0.040,0.033,0.038,0.035,0.024,0.023,,
70,Yb,ppm,0.160,0.2484,0.215,0.312,0.270,0.320,0.220,0.210,0.203,0.226,0.230,0.154,0.157,0.216,0.215
71,Lu,ppm,0.025,0.03738,0.033,0.046,0.039,0.046,0.032,0.030,0.033,0.034,0.034,0.025,0.025,0.032,0.033
72,Hf,ppm,0.11,0.1773,0.18,0.23,0.22,0.25,0.15,0.14,,,,,,,
73,Ta,ppb,14.00,0.02099,19.00,,,,,,,,,,,,
74,W,ppb,93.00,0.1277,160.00,160.00,150.00,180.00,110.00,150.00,,,,,,,
75,Re,ppb,38.00,0.05245,50.00,57.00,58.00,60.00,50.00,73.00,,,,,,,
76,Os,ppb,490.00,0.6783,670.00,800.00,805.00,815.00,710.00,1150.00,835.00,530.00,410.00,660.00,670.00,690.00,680.00
77,Ir,ppb,465.00,0.6448,580.00,730.00,740.00,760.00,670.00,1070.00,,,,,,,
78,Pt,ppm,1.00,1.357,1.10,1.25,1.24,1.30,0.98,1.70,,,,,,,
79,Au,ppb,145.00,0.1955,150.00,153.00,190.00,120.00,160.00,250.00,,,,,,,
80,Hg,ppb,310.00,0.4128,,,,,,,,,,,,,
81,Tl,ppb,142.00,0.1845,92.00,58.00,40.00,,60.00,,,,,,,,
82,Pb,ppm,2.50,3.258,1.60,1.10,2.15,0.80,,,,,,,,,
83,Bi,ppb,110.00,0.1388,71.00,54.00,35.00,20.00,40.00,,,,,,,,
89,Ac,,,,,,,,,,,,,,,,
90,Th,ppb,29.00,,41.00,58.00,80.00,58.00,42.00,,,,,,,,
91,Pa,,,,,,,,,,,,,,,,
92,U,ppb,8.00,,12.00,17.00,18.00,15.00,13.00,,,,,,,,
