Name,Symbol,CNMMN/CNMNC approved formula (unless marked in blue),IMA Status,Kretz (1998),Siivolam & Schmid (2007),Whitney & Evans (2010),Can. Min. (2019),Warr (2020),Symbol rule (1-4),Notes,new/adopted symbol,,blue formula taken from publlished literature,,
Abellaite,Abe,NaPb2(CO3)2(OH),A,,,,,,1,,new symbol,,Yellow =,cmmon,
Abelsonite,Abl,NiC31H32N4,A,,,,,,2,,new symbol,,* = adopted symbols, name,
Abenakiite-(Ce),Abk-Ce,Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,A,,,,,,2,,new symbol,,,components,
Abernathyite,Abn,K(UO2)(AsO4)·3H2O,G,,,,,,2,,new symbol,,,androsite,a
Abhurite,Abh,Sn2+21O6(OH)14Cl16,A,,,,,,1,,new symbol,,,argyrite,ag
Abramovite,Abm,Pb2SnInBiS7,A,,,,,,2,,new symbol,,,akasakaite,ak
Abswurmbachite,Abs,Cu2+Mn3+6O8(SiO4),A,,,,,,1,,new symbol,,,bergite,b
Abuite,Abu,CaAl2(PO4)2F2,A,,,,,,1,,new symbol,,,basite,b
Acanthite,Aca,Ag2S,G,,,,,,1,,new symbol,,,bokiite,bk
Acetamide,Ace,CH3CONH2,A,,,,,,1,,new symbol,,,belonite,"b, bl"
Achalaite,Ahl,Fe2+TiNb2O8,A,,,,,,2,,new symbol,,,borite,"b, bo"
Achávalite,Ahv,FeSe,Rn,,,,,,3,,new symbol,,,burgite,bu or b
Achyrophanite,Aph,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5",A,,,,,,2,,new symbol,,,cerinite,c
Acmonidesite,Acm,"(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8",A,,,,,,1,,new symbol,,,chroite,c
Actinolite,Act,܆Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Rd,Act,Act,Act,Act,Act,1,, adopted symbol,,,carbide,cb
Acuminite,Acu,SrAlF4(OH)·H2O,A,,,,Ac,,1,,new symbol,,,chalcite,ch
Adachiite,Adc,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),A,,,,,,2,,new symbol,,,creekite,ck
Adamite,Ad,Zn2(AsO4)(OH),G,,,,,,1,,new symbol,,,clasite,cl
