Z,El,Line,I,Lambda (A),Energy (keV),STE (100.400),LDE1,LDE2,LDE4,TAP,PET,LIF
4,Be,Kα,100,114,0.109,317.928,532.000,325.714,798.000,1239.275,3651.338,7927.087
4,Be,Kα,100,114,0.109,317.928,532.000,325.714,798.000,1239.275,3651.338,7927.087
4,Be,AK,,111,0.112,309.562,518.000,317.143,777.000,1206.662,3555.251,7718.479
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,B,Kα,100,68.31,0.181,190.506,318.780,195.171,478.170,742.586,2187.920,4749.994
5,B,AK,,64.6,0.192,180.159,301.467,184.571,452.200,702.256,2069.092,4492.016
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,C,Kα,100,44.46,0.279,123.992,207.480,127.029,311.220,483.317,1424.022,3091.564
6,C,AK,,43.68,0.284,121.817,203.840,124.800,305.760,474.838,1399.039,3037.326
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,N,Kα,100,31.6,0.392,88.127,147.467,90.286,221.200,343.518,1012.125,2197.333
7,N,AK,,30.99,0.400,86.426,144.620,88.543,216.930,336.887,992.588,2154.916
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,O,Kα,100,23.62,0.525,65.873,110.227,67.486,165.340,256.769,756.532,1642.437
8,O,AK,,23.32,0.532,65.036,108.827,66.629,163.240,253.508,746.923,1621.576
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,F,Kα,100,18.32,0.677,51.092,85.493,52.343,128.240,199.154,586.776,1273.897
9,F,AK,,18.05,0.687,50.339,84.233,51.571,126.350,196.219,578.129,1255.122
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,F,SKα+,35,18.22,0.680,50.813,85.027,52.057,127.540,198.067,583.574,1266.943
9,F,SKα+2,30,18.2,0.681,50.757,84.933,52.000,127.400,197.849,582.933,1265.552
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,Ne,"Kα1,2",100,14.61,0.848,40.745,68.180,41.743,102.270,158.823,467.948,1015.919
10,Ne,AK,,14.3018,0.867,39.885,66.742,40.862,100.113,155.472,458.076,994.488
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,Na,"Kα1,2",100,11.9101,1.041,33.215,55.580,34.029,83.371,129.473,381.472,828.179
11,Na,Kβ,5,11.575,1.071,32.281,54.017,33.071,81.025,125.830,370.739,804.877
11,Na,Kβ1,5,11.61742,1.067,32.399,54.215,33.193,81.322,126.291,372.098,807.827
11,Na,AK,,11.569,1.071,32.264,53.989,33.054,80.983,125.765,370.547,804.460
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,Na,SKα+,3,11.837,1.047,33.012,55.239,33.820,82.859,128.678,379.131,823.096
11,Na,SKα3,10,11.805,1.050,32.922,55.090,33.729,82.635,128.330,378.106,820.871
11,Na,SKα4,10,11.786,1.052,32.869,55.001,33.674,82.502,128.124,377.497,819.550
11,Na,SKα5,2,11.717,1.058,32.677,54.679,33.477,82.019,127.374,375.287,814.752
11,Na,SKα6,1,11.686,1.061,32.590,54.535,33.389,81.802,127.037,374.294,812.596
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,Mg,"Kα1,2",100,9.89,1.253,27.582,46.153,28.257,69.230,107.513,316.770,687.710
12,Mg,Kβ,5,9.521,1.302,26.553,44.431,27.203,66.647,103.501,304.951,662.051
12,Mg,Kβ1,5,9.5698,1.295,26.689,44.659,27.342,66.989,104.032,306.514,665.444
12,Mg,AK,,9.5122,1.303,26.528,44.390,27.178,66.585,103.406,304.669,661.439
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,Mg,SKα+,2,9.84785,1.259,27.464,45.957,28.137,68.935,107.054,315.420,684.779
12,Mg,SKα3,8,9.8238,1.262,27.397,45.844,28.068,68.767,106.793,314.649,683.106
12,Mg,SKα4,8,9.80777,1.264,27.352,45.770,28.022,68.654,106.619,314.136,681.992
12,Mg,SKα5,,9.75366,1.271,27.201,45.517,27.868,68.276,106.030,312.403,678.229
12,Mg,SKα6,,9.72761,1.274,27.129,45.396,27.793,68.093,105.747,311.568,676.418
12,Mg,SKβ+,,9.66649,1.282,26.958,45.110,27.619,67.665,105.083,309.611,672.168
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,Al,"Kα1,2",150,8.34013,1.486,23.259,38.921,23.829,58.381,90.664,267.128,579.938
13,Al,Kα1,100,8.33934,1.486,23.257,38.917,23.827,58.375,90.656,267.103,579.883
13,Al,Kα2,50,8.34173,1.486,23.264,38.928,23.834,58.392,90.682,267.180,580.049
13,Al,Kβ,5,7.96,1.557,22.199,37.147,22.743,55.720,86.532,254.953,553.505
13,Al,Kβ1,5,7.9819,1.553,22.260,37.249,22.805,55.873,86.770,255.655,555.028
13,Al,AK,,7.9481,1.560,22.166,37.091,22.709,55.637,86.402,254.572,552.678
13,Al,Al1,,142.5,0.087,397.410,665.000,407.143,997.500,1549.093,4564.173,9908.858
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,Al,SKα+,2,8.30474,1.493,23.161,38.755,23.728,58.133,90.279,265.995,577.477
13,Al,SKα3,8,8.2867,1.496,23.110,38.671,23.676,58.007,90.083,265.417,576.223
13,Al,SKα4,4,8.27067,1.499,23.066,38.596,23.630,57.895,89.909,264.904,575.108
13,Al,SKα5,,8.2286,1.506,22.948,38.400,23.510,57.600,89.452,263.556,572.183
13,Al,SKα6,,8.2075,1.510,22.889,38.302,23.450,57.453,89.222,262.880,570.715
13,Al,SKβ+,,80.663,0.154,224.957,376.427,230.466,564.641,876.874,2583.578,5608.970
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,Si,"Kα1,2",150,7.12624,1.739,19.874,33.256,20.361,49.884,77.468,228.248,495.529
14,Si,Kα1,100,7.12542,1.740,19.872,33.252,20.358,49.878,77.459,228.222,495.472
14,Si,Kα2,50,7.12791,1.739,19.879,33.264,20.365,49.895,77.486,228.302,495.645
14,Si,Kβ,5,6.753,1.836,18.833,31.514,19.294,47.271,73.411,216.294,469.576
14,Si,Kβ1,5,6.778,1.829,18.903,31.631,19.366,47.446,73.682,217.094,471.314
14,Si,AK,,6.738,1.840,18.791,31.444,19.251,47.166,73.248,215.813,468.533
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,Si,"L2,3-M",100,135.5,0.091,377.888,632.333,387.143,948.500,1472.998,4339.968,9422.107
14,Si,"Al2,3",,123,0.101,343.028,574.000,351.429,861.000,1337.112,3939.602,8552.909
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,Si,SKα+,,7.0943,1.747,19.785,33.107,20.269,49.660,77.121,227.225,493.308
14,Si,SKα3,6,7.07677,1.752,19.736,33.025,20.219,49.537,76.930,226.664,492.089
14,Si,SKα4,3,7.06654,1.754,19.707,32.977,20.190,49.466,76.819,226.336,491.378
14,Si,SKα5,,7.0296,1.763,19.604,32.805,20.085,49.207,76.418,225.153,488.809
14,Si,SKα6,,7.02,1.766,19.578,32.760,20.057,49.140,76.313,224.846,488.142
14,Si,SKβ+,,6.8157,1.819,19.008,31.807,19.473,47.710,74.092,218.302,473.935
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,P,"Kα1,2",150,6.158,2.013,17.174,28.737,17.594,43.106,66.943,197.236,428.202
15,P,Kα1,100,6.157,2.013,17.171,28.733,17.591,43.099,66.932,197.204,428.132
15,P,Kα2,50,6.16,2.012,17.179,28.747,17.600,43.120,66.964,197.300,428.341
15,P,Kβ,5,5.796,2.139,16.164,27.048,16.560,40.572,63.007,185.642,403.030
15,P,Kβ1,5,5.8038,2.136,16.186,27.084,16.582,40.627,63.092,185.892,403.572
15,P,AK,,5.784,2.143,16.131,26.992,16.526,40.488,62.877,185.257,402.195
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,P,"L2,3-M",100,103.8,0.119,289.482,484.400,296.571,726.600,1128.392,3324.640,7217.821
15,P,"Al2,3",,94,0.132,262.151,438.667,268.571,658.000,1021.858,3010.753,6536.370
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,P,SKα+,,6.131,2.022,17.098,28.611,17.517,42.917,66.649,196.372,426.324
15,P,SKα3,5,6.11663,2.027,17.058,28.544,17.476,42.816,66.493,195.911,425.325
15,P,SKα4,5,6.10881,2.029,17.037,28.508,17.454,42.762,66.408,195.661,424.781
15,P,SKα5,,6.0753,2.040,16.943,28.351,17.358,42.527,66.044,194.588,422.451
15,P,SKα6,,6.0632,2.044,16.909,28.295,17.323,42.442,65.912,194.200,421.610
15,P,SKβ+,,5.8377,2.123,16.280,27.243,16.679,40.864,63.461,186.977,405.929
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,S,"Kα1,2",150,5.37309,2.307,14.985,25.074,15.352,37.612,58.410,172.096,373.622
16,S,Kα1,100,5.37216,2.307,14.982,25.070,15.349,37.605,58.400,172.066,373.558
16,S,Kα2,50,5.37496,2.306,14.990,25.083,15.357,37.625,58.430,172.156,373.752
16,S,Kβ1,7,5.0316,2.464,14.032,23.481,14.376,35.221,54.698,161.159,349.877
16,S,KβX,7,5.0233,2.468,14.009,23.442,14.352,35.163,54.607,160.893,349.299
16,S,AK,,5.0185,2.470,13.996,23.420,14.339,35.130,54.555,160.739,348.966
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,S,"Lι,N",100,83.4,0.149,232.590,389.200,238.286,583.800,906.627,2671.242,5799.290
,,,,, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000
